ABLA|37.14114,-2.780104
ABRUCENA|37.13305,-2.797098
ADRA|36.74807,-3.022522
ALBANCHEZ|37.2871,-2.181163
ALBOLODUY|37.03319,-2.62175
ALBOX|37.38979,-2.147483
ALCOLEA|36.97449,-2.961038
ALCONTAR|37.33585,-2.596944
ALCUDIA DE MONTEAGUD|37.23598,-2.266174
ALHABIA|36.9893,-2.587667
ALHAMA DE ALMERÍA|36.95742,-2.570075
ALICUN|36.9663,-2.601994
ALMERIA|36.84016,-2.467922
ALMOCITA|37.00236,-2.790071
ALSODUX|37.002,-2.594579
ANTAS|37.24516,-1.917543
ARBOLEAS|37.35025,-2.074867
ARMUÑA DE ALMANZORA|37.34969,-2.411396
BACARES|37.26083,-2.454761
BAYARCAL|37.03116,-2.996469
BAYARQUE|37.33091,-2.43566
BEDAR|37.18964,-1.981898
BEIRES|37.012,-2.790928
BENAHADUX|36.92587,-2.455683
BENITAGLA|37.23124,-2.239107
BENIZALON|37.21175,-2.241685
BENTARIQUE|36.98652,-2.61942
BERJA|36.84644,-2.949425
CANJAYAR|37.00973,-2.739681
CANTORIA|37.35259,-2.193626
CARBONERAS|36.99659,-1.895012
CASTRO DE FILABRES|37.18464,-2.439524
CHERCOS|37.26633,-2.257897
CHIRIVEL|37.5956,-2.264839
COBDAR|37.26199,-2.210223
CUEVAS DEL ALMANZORA|37.29709,-1.881476
DALIAS|36.82121,-2.870697
EJIDO (EL)|36.77506,-2.812738
ENIX|36.87704,-2.602107
FELIX|36.86892,-2.657921
FIÑANA|37.17101,-2.840678
FINES|37.35888,-2.262964
FONDON|36.97942,-2.858356
GADOR|36.95393,-2.492936
GALLARDOS (LOS|37.16948,-1.940099
GARRUCHA|37.17925,-1.821901
GERGAL|37.1207,-2.538305
HUECIJA|36.96788,-2.611436
HUERCAL-OVERA|37.39063,-1.943684
HUERCAL DE ALMERIA|36.88415,-2.435978
ILLAR|36.98504,-2.639302
INSTINCION|36.99316,-2.659945
LAROYA|37.29667,-2.329601
LAUJAR DE ANDARAX|36.99384,-2.88922
LIJAR|37.29527,-2.219928
LUBRIN|37.21585,-2.067055
LUCAINENA DE LAS TORRES|37.04179,-2.200706
LUCAR|37.39965,-2.427074
MACAEL|37.33229,-2.304892
MARIA|37.7111,-2.165795
MOJACAR|37.13995,-1.851328
MOJONERA (LA|36.75254,-2.688159
NACIMIENTO|37.10497,-2.64774
NIJAR|36.96576,-2.20651
OHANES|37.03723,-2.745168
OLULA DE CASTRO|37.17611,-2.476297
OLULA DEL RIO|37.35212,-2.298121
ORIA|37.48503,-2.295018
PADULES|36.99884,-2.773482
PARTALOA|37.40604,-2.226434
PATERNA DEL RIO|37.02088,-2.953087
PECHINA|36.91667,-2.440625
PULPI|37.41183,-1.745502
PURCHENA|37.34855,-2.36155
RAGOL|36.99564,-2.680989
RIOJA|36.94406,-2.462424
ROQUETAS DE MAR|36.76427,-2.614935
SANTA CRUZ DE MARCHENA|37.0172,-2.603768
SANTA FE DE MONDUJAR|36.97506,-2.530279
SENES|37.20457,-2.347544
SERON|37.34361,-2.508077
SIERRO|37.32348,-2.398526
SOMONTIN|37.39139,-2.389127
SORBAS|37.09841,-2.126351
SUFLI|37.3382,-2.389523
TABERNAS|37.04945,-2.392681
TABERNO|37.46729,-2.076205
TAHAL|37.22803,-2.28497
TERQUE|36.98359,-2.597233
TIJOLA|37.34551,-2.439434
TRES VILLAS (LAS|37.13334,-2.7
TURRE|37.15225,-1.894899
TURRILLAS|37.03019,-2.264096
ULEILA DEL CAMPO|37.18548,-2.203801
URRACAL|37.39732,-2.36507
VELEFIQUE|37.19375,-2.403687
VELEZ-BLANCO|37.69095,-2.095682
VELEZ-RUBIO|37.64802,-2.074232
VERA|37.24686,-1.868238
VIATOR|36.88963,-2.426541
VICAR|36.83145,-2.642515
ZURGENA|37.34265,-2.039607
ALCALA DE LOS GAZULES|36.46045,-5.723718
ALCALA DEL VALLE|36.90491,-5.173237
ALGAR|36.65533,-5.657418
ALGECIRAS|36.12978,-5.447698
ALGODONALES|36.88092,-5.405773
ARCOS DE LA FRONTERA|36.75078,-5.812395
BARBATE|36.19282,-5.918903
BARRIOS (LOS)|36.18539,-5.492747
BENALUP-CASAS VIEJAS|36.34284,-5.8094
BENAOCAZ|36.69952,-5.421263
BORNOS|36.81459,-5.743362
BOSQUE (EL)|36.75752,-5.506988
CADIZ|36.52969,-6.292657
CASTELLAR DE LA FRONTERA|36.28621,-5.419937
CHICLANA DE LA FRONTERA|36.41915,-6.149412
CHIPIONA|36.7408,-6.43587
CONIL DE LA FRONTERA|36.27675,-6.088436
ESPERA|36.87319,-5.806213
GASTOR (EL)|36.85509,-5.323623
GRAZALEMA|36.75837,-5.366071
JEREZ DE LA FRONTERA|36.68656,-6.137173
JIMENA DE LA FRONTERA|36.43404,-5.453479
LINEA DE LA CONCEPCION (LA)|36.16118,-5.348256
MEDINA-SIDONIA|36.46768,-5.927894
OLVERA|36.93525,-5.267688
PATERNA DE RIVERA|36.52333,-5.866053
PRADO DEL REY|36.78968,-5.555545
PUERTO DE SANTA MARIA (EL)|36.59695,-6.227526
PUERTO REAL|36.52912,-6.191895
PUERTO SERRANO|36.92159,-5.545621
ROTA|36.61699,-6.358202
SAN FERNANDO|36.46572,-6.196626
SAN JOSE DEL VALLE|36.60554,-5.798952
SAN ROQUE|36.20975,-5.384572
SANLUCAR DE BARRAMEDA|36.77882,-6.354198
SETENIL DE LAS BODEGAS|36.86406,-5.181413
TARIFA|36.01271,-5.602954
TORRE ALHAQUIME|36.91553,-5.234736
TREBUJENA|36.86951,-6.176695
UBRIQUE|36.67771,-5.446557
VEJER DE LA FRONTERA|36.25331,-5.962856
VILLALUENGA DEL ROSARIO|36.69587,-5.388137
VILLAMARTIN|36.86132,-5.641834
ZAHARA|36.84053,-5.390547
ADAMUZ|38.02736,-4.524873
AGUILAR DE LA FRONTERA|37.51503,-4.656057
ALCARACEJOS|38.38823,-4.967684
ALMEDINILLA|37.439,-4.091205
ALMODOVAR DEL RIO|37.80959,-5.019958
AÑORA|38.41099,-4.897461
BAENA|37.61441,-4.326089
BELALCAZAR|38.57843,-5.167119
BELMEZ|38.27234,-5.208753
BENAMEJI|37.26732,-4.540418
